v8-version,4,9,385,35,0
code-creation,Stub,12,0x1af65b13240,438,"BinaryOpICStub(MUL:Number*Smi->Number)"
code-creation,Stub,12,0x1af65b13400,256,"BinaryOpICStub(MUL:Smi*Int32->Int32)"
code-creation,Stub,12,0x1af65b13500,414,"BinaryOpICStub(MUL:Smi*Int32->Number)"
code-creation,Stub,12,0x1af65b136a0,438,"BinaryOpICStub(MUL:Smi*Number->Number)"
code-creation,Stub,12,0x1af65b13860,256,"BinaryOpICStub(MUL:Smi*Smi->Int32)"
code-creation,Stub,12,0x1af65b13960,414,"BinaryOpICStub(MUL:Smi*Smi->Number)"
code-creation,Stub,12,0x1af65b13b00,256,"BinaryOpICStub(MUL:Smi*Smi->Smi)"
code-creation,Stub,12,0x1af65b13c00,220,"BinaryOpICStub(SAR:Int32*Smi->Int32)"
code-creation,Stub,12,0x1af65b13ce0,220,"BinaryOpICStub(SAR:Int32*Smi->Smi)"
code-creation,Stub,12,0x1af65b13dc0,344,"BinaryOpICStub(SAR:Number*Smi->Smi)"
code-creation,Stub,12,0x1af65b13f20,220,"BinaryOpICStub(SAR:Smi*Smi->Smi)"
code-creation,Stub,12,0x1af65b14000,220,"BinaryOpICStub(SHL:Int32*Smi->Int32)"
code-creation,Stub,12,0x1af65b140e0,220,"BinaryOpICStub(SHL:Int32*Smi->Smi)"
code-creation,Stub,12,0x1af65b141c0,344,"BinaryOpICStub(SHL:Number*Smi->Smi)"
code-creation,Stub,12,0x1af65b14320,220,"BinaryOpICStub(SHL:Smi*Smi->Int32)"
code-creation,Stub,12,0x1af65b14400,220,"BinaryOpICStub(SHL:Smi*Smi->Smi)"
code-creation,Stub,12,0x1af65b144e0,248,"BinaryOpICStub(SHR:Int32*Smi->Smi)"
code-creation,Stub,12,0x1af65b145e0,368,"BinaryOpICStub(SHR:Number*Smi->Int32)"
code-creation,Stub,12,0x1af65b14760,368,"BinaryOpICStub(SHR:Number*Smi->Smi)"
code-creation,Stub,12,0x1af65b148e0,248,"BinaryOpICStub(SHR:Smi*Smi->Smi)"
code-creation,Stub,12,0x1af65b149e0,232,"BinaryOpICStub(SUB:Int32*Int32->Int32)"
code-creation,Stub,12,0x1af65b14ae0,438,"BinaryOpICStub(SUB:Int32*Number->Number)"
code-creation,Stub,12,0x1af65b14ca0,232,"BinaryOpICStub(SUB:Int32*Smi->Int32)"
code-creation,Stub,12,0x1af65b14da0,438,"BinaryOpICStub(SUB:Number*Int32->Number)"
code-creation,Stub,12,0x1af65b14f60,462,"BinaryOpICStub(SUB:Number*Number->Number)"
code-creation,Stub,12,0x1af65b15140,438,"BinaryOpICStub(SUB:Number*Smi->Number)"
code-creation,Stub,12,0x1af65b15300,232,"BinaryOpICStub(SUB:Smi*Int32->Int32)"
code-creation,Stub,12,0x1af65b15400,438,"BinaryOpICStub(SUB:Smi*Number->Number)"
code-creation,Stub,12,0x1af65b155c0,232,"BinaryOpICStub(SUB:Smi*Smi->Smi)"
code-creation,Stub,12,0x1af65b156c0,284,"BinaryOpICStub(MOD:Smi*2->Smi)"
code-creation,Stub,12,0x1af65b157e0,284,"BinaryOpICStub(MOD:Smi*4->Smi)"
code-creation,Stub,12,0x1af65b15900,284,"BinaryOpICStub(MOD:Smi*8->Smi)"
code-creation,Stub,12,0x1af65b15a20,284,"BinaryOpICStub(MOD:Smi*16->Smi)"
code-creation,Stub,12,0x1af65b15b40,284,"BinaryOpICStub(MOD:Smi*32->Smi)"
code-creation,Stub,12,0x1af65b15c60,296,"BinaryOpICStub(MOD:Smi*2048->Smi)"
code-creation,Stub,2,0x1af65b15da0,2316,"RecordWriteStub"
code-creation,Stub,3,0x1af65b166c0,360,"StoreFastElementStub"
code-creation,Stub,2,0x1af65b16840,2342,"RecordWriteStub"
code-creation,Stub,2,0x1af65b17180,188,"DoubleToIStub"
code-creation,Stub,3,0x1af65b17240,934,"StoreFastElementStub"
code-creation,Stub,3,0x1af65b17600,340,"StoreFastElementStub"
code-creation,Stub,2,0x1af65b17760,188,"DoubleToIStub"
code-creation,Stub,3,0x1af65b17820,946,"StoreFastElementStub"
code-creation,Stub,3,0x1af65b17be0,336,"StoreFastElementStub"
code-creation,Stub,3,0x1af65b17d40,926,"StoreFastElementStub"
code-creation,Stub,3,0x1af65b180e0,360,"StoreFastElementStub"
code-creation,Stub,3,0x1af65b18260,950,"StoreFastElementStub"
code-creation,Stub,3,0x1af65b18620,360,"StoreFastElementStub"
code-creation,Stub,3,0x1af65b187a0,950,"StoreFastElementStub"
code-creation,Stub,3,0x1af65b18b60,340,"StoreFastElementStub"
code-creation,Stub,3,0x1af65b18cc0,938,"StoreFastElementStub"
code-creation,Stub,3,0x1af65b19080,340,"StoreFastElementStub"
code-creation,Stub,3,0x1af65b191e0,938,"StoreFastElementStub"
code-creation,Stub,2,0x1af65b195a0,652,"TypeofStub"
code-creation,Stub,2,0x1af65b19840,540,"JSEntryStub"
code-creation,Stub,2,0x1af65b19a60,540,"JSConstructEntryStub"
code-creation,Builtin,4,0x1af65b19c80,119,"Illegal"
code-creation,Builtin,4,0x1af65b19d00,119,"EmptyFunction"
code-creation,Builtin,4,0x1af65b19d80,119,"ArrayConcat"
code-creation,Builtin,4,0x1af65b19e00,119,"ArrayIsArray"
